iter	Passed	Remaining
937	4633	306
938	4634	301
939	4636	295
940	4638	290
941	4639	285
942	4641	280
943	4643	275
944	4646	270
945	4647	265
946	4648	260
947	4650	255
948	4653	250
949	4655	245
950	4658	240
951	4660	234
952	4661	229
953	4663	224
954	4665	219
955	4668	214
956	4670	209
957	4673	204
958	4675	199
959	4676	194
960	4678	189
961	4679	184
962	4684	179
963	4690	175
964	4692	170
965	4695	165
966	4702	160
967	4704	155
968	4708	150
969	4712	145
970	4717	140
971	4722	136
972	4730	131
973	4733	126
974	4735	121
975	4737	116
976	4739	111
977	4742	106
978	4744	101
979	4748	96
980	4750	92
981	4752	87
982	4754	82
983	4759	77
984	4761	72
985	4763	67
986	4765	62
987	4767	57
988	4769	53
989	4779	48
990	4792	43
991	4794	38
992	4798	33
993	4807	29
994	4812	24
995	4824	19
996	4831	14
997	4836	9
998	4837	4
999	4839	0
